"ID externo","Nombre","Brand","Cantidad a mano","Categoría de producto","Precio de venta","Website","Imagenes","Descripción"
"__export__.product_template_73_688adbe9","10 uds GEL HIDRO-ALCOHOLICO 1L (a 9'6€/ud)","","100.0","product.product_category_all","96.0","","",""
"__export__.product_template_71_2c230fc8","10 uds GEL HIDRO-ALCOHOLICO 500 ML (a 4'8€/ud)","","100.0","product.product_category_all","48.0","","",""
"__export__.product_template_76_68a42efe","1L HIGIENIZANTE HIDROALCOHOLICO","","100.0","product.product_category_all","8.85","","",""
"__export__.product_template_75_09097ef6","5 uds GEL HIDRO-ALCOHOLICO 1L (10,80€/ud)","","100.0","product.product_category_all","54.0","","",""
"__export__.product_template_454_b3e0316e","AMOLADORA 230mm 2400W VELOCIDAD VARIABLE","","1000.0","product.product_category_all","102.0","","__export__.product_image_159_39b9b637",""
"","","","","","","","__export__.product_image_160_12e48f4b",""
"__export__.product_template_450_6cd7a98e","AMOLADORA 800W 115MM VELOCIDAD VARIABLE","","15.0","product.product_category_all","59.0","","",""
"__export__.product_template_456_54cbdf3f","AMOLADORA 800W Ø115 VELOCIDAD VARIABLE","","1000.0","product.product_category_all","41.0","","__export__.product_image_161_d68be71d",""
"__export__.product_template_455_e19755e3","AMOLADORA RECTA 750W (PINZAS DE 6mm Y 8mm)","","1000.0","product.product_category_all","145.0","","",""
"__export__.product_template_457_5602b5cf","CAJA DE HERRAMIENTAS METÁLICA 5 COMPARTIMENTOS","","1000.0","product.product_category_all","51.0","","__export__.product_image_162_79155868",""
"","","","","","","","__export__.product_image_163_01ba4b98",""
"__export__.product_template_69_fefcc325","GEL HIDRO-ALCOHOLICO 1L","","100.0","product.product_category_all","14.0","","",""
"__export__.product_template_57_9615b539","GEL HIDRO-ALCOHOLICO 5L","","100.0","product.product_category_all","29.0","","",""
"__export__.product_template_481_0f3d86c6","KIT DE GATO ELÉCTRICO 5 EN 1","","100.0","product.product_category_all","66.0","","__export__.product_image_195_125342f6","Coste+ 50% + 10€ coste + 21%IVA
https://onecompusys.com/products/kit?mima=fb569874a5t8b6a5s5&fbclid=IwAR0MuH8zCy7qRfy6S9itVtRFB8C5GRgxbyegqD9Bluf0hNxdTs7wwq-5Ods"
"","","","","","","","__export__.product_image_196_cb22ce91",""
"","","","","","","","__export__.product_image_197_bffa3f0c",""
"__export__.product_template_452_5d1b4478","LUZ LED EMERGENCIAS","","10.0","product.product_category_all","15.0","","",""
"__export__.product_template_65_341d0a7a","MASCARILLA 100 LAVADOS","","1000.0","product.product_category_all","1.9","","__export__.product_image_12_9da96834",""
"__export__.product_template_451_85fc80c4","Multiherramienta inalámbrica de 20V 4 en 1","","19.0","product.product_category_all","243.0","","",""
"__export__.product_template_86_7e56fa4e","PANTALLA PROTECTORA ABATIBLE","","100.0","product.product_category_all","2.3","","__export__.product_image_25_e840918a",""
"","","","","","","","__export__.product_image_26_a2151d71",""
"","","","","","","","__export__.product_image_28_26af4bc3",""
"__export__.product_template_82_69d41462","PANTALLA PROTECTORA ADULTO/NIÑO","","100.0","product.product_category_all","1.99","","__export__.product_image_21_38f6bc98",""
"__export__.product_template_95_fd61ba57","PASTILLAS DESINFECTANTES ANTIVIRUS 300 UDS","","100.0","product.product_category_all","45.0","","",""
"__export__.product_template_458_10583aa2","ROBUSTOS ALICATES PROFESIONALES PARA REMACHES Y VÁSTAGOS","","1000.0","product.product_category_all","58.0","","__export__.product_image_164_efe8a98e",""
"","","","","","","","__export__.product_image_165_ea6b48d4",""
"__export__.product_template_468_711fd05d","SIERRA DE MANO ELÉCTRICA","","1000.0","product.product_category_all","78.0","","__export__.product_image_173_1b610a39",""
"","","","","","","","__export__.product_image_174_2cba1b53",""
"","","","","","","","__export__.product_image_175_4ecce879",""
"__export__.product_template_92_df325128","SIERRA SABLE 1050w","","100.0","product.product_category_all","125.84","","__export__.product_image_39_250366b1","13. Datos técnicos 
Voltaje nominal: . . . . . . . .230 V ~ 50 Hz 
Potencia nominal: . . . . . . . . . . . . 1050 W 
Carrera: . . . . . . . . . . . . . 0 - 2500 min-1 
Tasa de accidente cerebrovascular: . . . . . . . . . . . . . . . 28 mm 
Longitud del cable de alimentación:. . . . . . . . . . .3 m 
Peso:. . . . . . . . . . . . . . . . . . 3,4 kg 
Nivel de presión sonora (LpA):. . . .92.2 dB (A) 
Incertidumbre:. . . . . . . . . . . . K = 3 dB (A) 
Nivel de potencia de sonido (LWA):. . . . 103.2 dB (A) 
Incertidumbre:. . . . . . . . . . . . K = 3 dB (A) 
Vibración del brazo de la mano:. . . . . . . . 25.65 m / s2
 Incertidumbre:. . . . . . . . . . . .K = 1.5 m / s2 
Grado de protección: . . . . . . . . . . . IP20 
Clase de protección: . . . . . . . . . . . . . . . . II 
"
"__export__.product_template_453_d67bf8b5","TALADRO DE IMPACTO SDS 800W 4 EN 1","","100.0","product.product_category_all","51.0","","__export__.product_image_157_a534ce58",""
"","","","","","","","__export__.product_image_158_f5210c38",""
"__export__.product_template_467_c6bc62d9","VENTILADOR AUYENTA INSECTOS VOLADORES","","1000.0","product.product_category_all","15.0","","__export__.product_image_171_63a69822",""
"","","","","","","","__export__.product_image_172_ab636efa",""
